uid,population,commuters,ratio
16019,82522,3802,0.0460725624682
16021,9871,520,0.0526795664066
16023,2899,238,0.0820972749224
16025,991,200,0.201816347124
16027,131441,20199,0.153673511309
16029,7304,322,0.0440854326396
16031,21416,2348,0.10963765409
16033,1022,93,0.0909980430528
16035,8930,483,0.0540873460246
16037,4342,310,0.0713956701981
16039,29130,2073,0.0711637487127
16041,11329,1986,0.175302321476
16043,11819,2382,0.201539893392
16045,15181,2768,0.182333179632
16047,14155,1825,0.128929706817
16049,15511,918,0.0591838050416
16051,19155,4334,0.226259462281
16053,18342,3369,0.183676807327
16055,108685,10589,0.0974283479781
16057,34935,3588,0.102705023615
16059,7806,98,0.0125544452985
16061,3747,563,0.150253536162
16063,4044,822,0.203264094955
16065,27467,2119,0.0771471220009
16067,20174,3003,0.148854961832
16069,37410,2452,0.0655439721999
16071,4125,612,0.148363636364
16073,10644,2199,0.206595264938
16075,20578,4276,0.207794732238
16077,7538,979,0.129875298488
16079,13771,976,0.0708735749038
16081,5999,1191,0.198533088848
16083,64284,3253,0.0506035716508
16085,7651,402,0.0525421513528
16087,9977,1133,0.113561190739
17001,68277,2438,0.0357074856833
17003,9590,1632,0.170177267987
17005,17633,3484,0.197584075313
17007,41786,12282,0.293926195376
17009,6950,768,0.110503597122
17011,35503,6498,0.183026786469
17013,5084,1193,0.234657749803
17015,16674,2842,0.170445004198
17017,13695,2320,0.169404892296
17019,179669,4928,0.027428215218
17021,35372,6332,0.179011647631
17023,17008,3179,0.186912041392
17025,14560,1593,0.109409340659
17027,35535,8514,0.239594765724
17029,53196,3862,0.0725994435672
17031,5376741,292408,0.0543838730562
17033,20452,1430,0.0699198122433
17035,11253,3543,0.3148493735
17037,88969,15981,0.179624363542
17039,16798,3723,0.221633527801
17041,19922,3753,0.188384700331
17043,904161,191327,0.211607224819
17045,19704,2630,0.13347543646
17047,6971,1152,0.165256060823
17049,34264,1721,0.0502276441746
17051,21802,2773,0.12719016604
17053,14241,2871,0.201601011165
17055,39018,6483,0.166154082731
17057,38250,6740,0.176209150327
17059,6445,1359,0.210861132661
17061,14761,3110,0.210690332633
17063,37535,9362,0.249420540829
17065,8621,1851,0.214708270502
17067,20121,4214,0.209432930769
17069,4800,631,0.131458333333
17071,8213,2656,0.323389747961
17073,51020,10540,0.206585652685
17075,31334,5520,0.176166464543
17077,59612,4947,0.0829866469838
17079,10117,1813,0.179203321143
17081,40045,3124,0.0780122362342
17083,21668,5750,0.265368285029
17085,22289,4383,0.196644084526
17087,12878,2309,0.179298027644
17089,404119,84977,0.210277170833
17091,103833,10316,0.0993518438261
17093,54544,19566,0.358719565855
17095,55836,3736,0.066910237123
17097,644356,104860,0.162736127234
17099,111509,13389,0.120071025657
17101,15452,2518,0.162956251618
17103,36062,5879,0.163024790638
17105,39678,4358,0.109834165028
17107,31183,4100,0.131481897188
17109,32913,1885,0.0572722024732
17111,260077,65141,0.250468130592
17113,150433,6647,0.0441857837044
17115,114706,4717,0.0411225219256
17117,49019,11104,0.226524408903
17119,258941,46350,0.178998304633
17121,41691,4453,0.10680962318
17123,13180,3323,0.252124430956
17125,16038,3563,0.222159870308
17127,15161,2807,0.185146098542
17129,12486,4304,0.344706070799
17131,16957,4686,0.276346051778
