source,dest,data,model
12117,Mexico,0,22
12119,Canada,0,0
12119,Mexico,0,0
12121,Canada,0,0
12121,Mexico,0,0
12123,Canada,0,0
12123,Mexico,0,0
12125,Canada,0,0
12125,Mexico,0,0
12127,Canada,52,1
12127,Mexico,0,4
12129,Canada,0,0
12129,Mexico,0,0
12131,Canada,0,0
12131,Mexico,0,0
12133,Canada,0,0
12133,Mexico,0,0
13001,Canada,0,0
13001,Mexico,0,0
13003,Canada,0,0
13003,Mexico,0,0
13005,Canada,0,0
13005,Mexico,0,0
13007,Canada,0,0
13007,Mexico,0,0
13009,Canada,0,0
13009,Mexico,0,0
13011,Canada,0,0
13011,Mexico,0,0
13013,Canada,0,0
13013,Mexico,0,0
13015,Canada,0,0
13015,Mexico,0,0
13017,Canada,0,0
13017,Mexico,0,0
13019,Canada,0,0
13019,Mexico,0,0
13021,Canada,0,0
13021,Mexico,0,0
13023,Canada,0,0
13023,Mexico,0,0
13025,Canada,0,0
13025,Mexico,0,0
13027,Canada,0,0
13027,Mexico,0,0
13029,Canada,0,0
13029,Mexico,0,0
13031,Canada,0,0
13031,Mexico,0,0
13033,Canada,0,0
13033,Mexico,0,0
13035,Canada,0,0
13035,Mexico,0,0
13037,Canada,0,0
13037,Mexico,0,0
13039,Canada,0,0
13039,Mexico,0,0
13043,Canada,0,0
13043,Mexico,0,0
13045,Canada,0,0
13045,Mexico,0,0
13047,Canada,8,0
13047,Mexico,0,0
13049,Canada,0,0
13049,Mexico,0,0
13051,Canada,0,0
13051,Mexico,0,0
13053,Canada,0,0
13053,Mexico,0,0
13055,Canada,0,0
13055,Mexico,0,0
13057,Canada,6,1
13057,Mexico,0,0
13059,Canada,0,0
13059,Mexico,0,0
13061,Canada,0,0
13061,Mexico,0,0
13063,Canada,0,4
13063,Mexico,0,0
13065,Canada,0,0
13065,Mexico,0,0
13067,Canada,54,42
13067,Mexico,19,45
13069,Canada,0,0
13069,Mexico,0,0
13071,Canada,0,0
13071,Mexico,0,0
13073,Canada,0,0
13073,Mexico,0,0
13075,Canada,0,0
13075,Mexico,0,0
13077,Canada,0,0
13077,Mexico,0,0
13079,Canada,0,0
13079,Mexico,0,0
13081,Canada,0,0
13081,Mexico,0,0
13083,Canada,0,0
13083,Mexico,0,0
13085,Canada,0,0
13085,Mexico,0,0
13087,Canada,0,0
13087,Mexico,0,0
13089,Canada,68,65
13089,Mexico,66,71
13091,Canada,0,0
13091,Mexico,0,0
13093,Canada,2,0
13093,Mexico,0,0
13095,Canada,0,0
13095,Mexico,0,0
13097,Canada,0,0
13097,Mexico,0,0
13099,Canada,0,0
13099,Mexico,0,0
13101,Canada,0,0
13101,Mexico,0,0
13103,Canada,0,0
13103,Mexico,0,0
13105,Canada,0,0
13105,Mexico,0,0
13107,Canada,0,0
13107,Mexico,0,0
13109,Canada,0,0
13109,Mexico,0,0
13111,Canada,10,0
13111,Mexico,0,0
13113,Canada,0,0
13113,Mexico,0,0
13115,Canada,0,0
13115,Mexico,3,0
13117,Canada,0,0
13117,Mexico,0,0
13119,Canada,0,0
13119,Mexico,0,0
13121,Canada,48,47
13121,Mexico,3,50
13123,Canada,0,0
13123,Mexico,5,0
13125,Canada,0,0
13125,Mexico,0,0
13127,Canada,0,0
13127,Mexico,0,0
13129,Canada,0,0
13129,Mexico,0,0
13131,Canada,0,0
13131,Mexico,0,0
13133,Canada,0,0
13133,Mexico,0,0
13135,Canada,9,43
13135,Mexico,10,37
13137,Canada,0,0
13137,Mexico,0,0
13139,Canada,0,0
13139,Mexico,17,0
13141,Canada,0,0
13141,Mexico,0,0
13143,Canada,0,0
13143,Mexico,0,0
13145,Canada,0,0
13145,Mexico,0,0
13147,Canada,0,0
13147,Mexico,0,0
13149,Canada,0,0
13149,Mexico,0,0
13151,Canada,0,0
13151,Mexico,0,0
13153,Canada,0,0
13153,Mexico,0,0
13155,Canada,0,0
13155,Mexico,0,0
13157,Canada,0,0
13157,Mexico,0,0
13159,Canada,0,0
13159,Mexico,0,0
13161,Canada,0,0
13161,Mexico,0,0
13163,Canada,0,0
13163,Mexico,0,0
13165,Canada,0,0
13165,Mexico,0,0
13167,Canada,0,0
13167,Mexico,0,0
13169,Canada,0,0
13169,Mexico,0,0
13171,Canada,0,0
13171,Mexico,0,0
13173,Canada,0,0
13173,Mexico,0,0
13175,Canada,0,0
13175,Mexico,0,0
13177,Canada,0,0
13177,Mexico,0,0
13179,Canada,0,0
13179,Mexico,0,0
13181,Canada,0,0
13181,Mexico,0,0
13183,Canada,0,0
13183,Mexico,0,0
13185,Canada,0,0
13185,Mexico,0,0
13187,Canada,0,0
13187,Mexico,8,0
13189,Canada,0,0
13189,Mexico,0,0
13191,Canada,0,0
13191,Mexico,0,0
13193,Canada,0,0
13193,Mexico,0,0
13195,Canada,0,0
13195,Mexico,0,0
13197,Canada,0,0
13197,Mexico,0,0
13199,Canada,0,0
13199,Mexico,0,0
13201,Canada,0,0
13201,Mexico,0,0
13205,Canada,0,0
13205,Mexico,0,0
13207,Canada,0,0
13207,Mexico,0,0
13209,Canada,0,0
13209,Mexico,0,0
13211,Canada,0,0
13211,Mexico,0,0
13213,Canada,0,0
13213,Mexico,0,0
13215,Canada,0,0
13215,Mexico,0,0
13217,Canada,0,0
13217,Mexico,0,0
13219,Canada,0,0
13219,Mexico,0,0
13221,Canada,0,0
13221,Mexico,0,0
13223,Canada,0,0
13223,Mexico,0,0
13225,Canada,0,0
13225,Mexico,0,0
13227,Canada,0,0
13227,Mexico,3,0
13229,Canada,0,0
13229,Mexico,0,0
13231,Canada,0,0
13231,Mexico,0,0
13233,Canada,0,0
13233,Mexico,0,0
13235,Canada,0,0
13235,Mexico,0,0
13237,Canada,0,0
13237,Mexico,0,0
13239,Canada,0,0
13239,Mexico,0,0
13241,Canada,0,0
13241,Mexico,0,0
13243,Canada,0,0
13243,Mexico,0,0
13245,Canada,0,0
13245,Mexico,0,0
13247,Canada,31,0
13247,Mexico,0,0
13249,Canada,0,0
13249,Mexico,0,0
13251,Canada,0,0
13251,Mexico,0,0
13253,Canada,0,0
13253,Mexico,0,0
13255,Canada,0,0
13255,Mexico,0,0
13257,Canada,0,0
13257,Mexico,0,0
13259,Canada,0,0
13259,Mexico,0,0
13261,Canada,0,0
13261,Mexico,0,0
13263,Canada,0,0
13263,Mexico,0,0
13265,Canada,0,0
13265,Mexico,0,0
13267,Canada,0,0
13267,Mexico,0,0
13269,Canada,0,0
13269,Mexico,0,0
13271,Canada,0,0
13271,Mexico,0,0
13273,Canada,0,0
13273,Mexico,0,0
13275,Canada,0,0
13275,Mexico,0,0
13277,Canada,0,0
13277,Mexico,0,0
13279,Canada,0,0
13279,Mexico,0,0
13281,Canada,0,0
13281,Mexico,0,0
13283,Canada,0,0
13283,Mexico,0,0
13285,Canada,0,0
13285,Mexico,0,0
13287,Canada,0,0
13287,Mexico,0,0
13289,Canada,0,0
13289,Mexico,0,0
13291,Canada,0,0
13291,Mexico,0,0
13293,Canada,0,0
13293,Mexico,0,0
13295,Canada,0,0
13295,Mexico,0,0
13297,Canada,5,0
13297,Mexico,0,0
13299,Canada,0,0
13299,Mexico,0,0
13301,Canada,0,0
13301,Mexico,0,0
