uid,usColor,usOpacity,mexicoColor,mexicoOpacity,canadaColor,canadaOpacity
U08107,darkgreen,0.000739774704175,darkorange,0.0,darkorange,0.0
U08109,darkorange,0.000178750884066,darkgreen,0.193656722839,darkorange,0.0
U08111,darkgreen,0.00190062519412,darkorange,0.0,darkorange,0.0
U08113,darkgreen,0.00408889083838,darkorange,0.0,darkorange,0.0
U08115,darkgreen,0.00223514843338,darkorange,0.0,darkorange,0.0
U08117,darkgreen,0.000773928831833,darkorange,0.0,darkgreen,0.153469321856
U08119,darkgreen,0.00062105950367,darkorange,0.0968283614195,darkorange,0.0
U08121,darkgreen,0.000226224821647,darkorange,0.0,darkorange,0.0
U08123,darkgreen,0.000729344512517,darkorange,0.431799456495,darkorange,0.113281920873
U08125,darkgreen,0.000943880596643,darkorange,0.0,darkorange,0.0
U09001,darkgreen,0.000889542136679,darkorange,0.343759766221,darkorange,0.288105234592
U09003,darkgreen,0.00108622802086,darkorange,0.128000131342,darkorange,0.464235432302
U09005,darkgreen,0.000349812194721,darkorange,0.306938643712,darkorange,0.146115318846
U09007,darkgreen,0.000315344107482,darkorange,0.290485084258,darkorange,0.0617212947329
U09009,darkgreen,0.000879553258015,darkorange,0.62703465711,darkorange,0.478472295223
U09011,darkgreen,0.000617279031731,darkorange,0.271831577026,darkorange,0.193656722839
U09013,darkgreen,0.000269721610657,darkorange,0.290485084258,darkorange,0.0523423506025
U09015,darkgreen,0.000265096562816,darkorange,0.193656722839,darkorange,0.368659938445
U10001,darkgreen,0.000272972821276,darkorange,0.153469321856,darkgreen,0.162484952916
U10003,darkgreen,0.000718609455184,darkorange,0.134815814623,darkorange,0.534837453404
U10005,darkgreen,0.000435971257171,darkorange,0.193656722839,darkorange,0.271831577026
U11001,darkgreen,0.000552553680955,darkorange,0.534837453404,darkorange,0.334971095075
U12001,darkgreen,0.00137570672798,darkorange,0.193656722839,darkorange,0.0968283614195
U12003,darkgreen,5.94821370865e-05,darkorange,0.0,darkgreen,0.378297814618
U12005,darkgreen,0.00168960288197,darkorange,0.0968283614195,darkorange,0.0
U12007,darkgreen,0.000552667486075,darkorange,0.0,darkorange,0.0
U12009,darkgreen,0.00114872359125,darkorange,0.105297245023,darkgreen,0.0968283614195
U12011,darkgreen,0.00115302208839,darkorange,0.424362303211,darkorange,0.134667912231
U12013,darkgreen,0.000790653906518,darkorange,0.0,darkorange,0.0
U12015,darkgreen,0.000817913633908,darkorange,0.306938643712,darkorange,0.0968283614195
U12017,darkgreen,0.000929966894199,darkorange,0.153469321856,darkorange,0.0
U12019,darkgreen,0.000384226795417,darkorange,0.321656854181,darkorange,0.193656722839
U12021,darkgreen,0.000784598317448,darkgreen,0.0111814697441,darkgreen,0.341180730565
U12023,darkgreen,0.000657269229368,darkorange,0.0,darkorange,0.0
U12027,darkgreen,0.000374235726585,darkorange,0.0,darkorange,0.0
U12029,darkgreen,0.000332208948094,darkorange,0.0,darkorange,0.0
U12031,darkgreen,0.00110046384334,darkorange,0.193656722839,darkorange,0.347126044695
U12033,darkgreen,0.00103814293478,darkorange,0.306938643712,darkgreen,0.137015762402
U12035,darkgreen,0.000580016597931,darkorange,0.0968283614195,darkorange,0.0
U12037,darkgreen,0.00218032648561,darkorange,0.0,darkorange,0.0
U12039,darkgreen,0.000510198707313,darkorange,0.0968283614195,darkorange,0.0
U12041,darkgreen,0.00032927250799,darkorange,0.0,darkorange,0.0
U12043,darkgreen,7.20256766857e-05,darkgreen,0.153469321856,darkorange,0.0
U12045,darkgreen,0.00123497530541,darkorange,0.0,darkorange,0.0
U12047,darkgreen,0.00098549824482,darkorange,0.0,darkorange,0.0
U12049,darkorange,0.000328746689917,darkgreen,0.387313445678,darkorange,0.0
U12051,darkgreen,0.000477259763293,darkorange,0.0968283614195,darkorange,0.0
U12053,darkgreen,0.000721379200143,darkorange,0.224828492762,darkorange,0.0968283614195
U12055,darkgreen,0.000865261817655,darkorange,0.0968283614195,darkorange,0.0
U12057,darkgreen,0.000739217559506,darkorange,0.219926453061,darkgreen,0.0726233767902
U12059,darkgreen,0.000811164931969,darkorange,0.0,darkorange,0.0
U12061,darkgreen,0.000542884189781,darkgreen,0.204838192583,darkorange,0.0
