uid,percentPoverty,medianIncome
22111,16.8,29788
22113,17.5,30415
22115,12.7,32768
22117,23.0,25052
22119,17.1,29338
22121,14.0,37574
22123,22.7,25368
22125,19.3,38779
22127,22.5,26100
23001,10.4,36855
23003,13.4,30094
23005,7.3,42900
23007,12.6,32621
23009,9.8,36260
23011,10.0,37127
23013,9.9,37994
23015,9.4,39454
23017,12.0,34101
23019,11.4,36146
23021,13.3,29823
23023,8.1,42786
23025,13.5,32010
23027,12.2,35071
23029,16.8,27197
23031,7.1,46081
24001,13.8,31469
24003,5.2,61233
24005,6.7,48733
24009,5.1,66487
24011,10.4,38603
24013,4.3,61723
24015,7.1,50628
24017,6.1,61137
24019,13.4,33944
24021,4.7,61887
24023,13.3,33203
24025,5.2,59083
24027,3.8,77495
24029,10.3,40411
24031,5.1,74652
24033,7.4,54176
24035,6.0,57890
24037,7.4,55615
24039,20.8,29618
24041,8.1,45162
24043,8.9,41499
24045,11.6,38665
24047,9.3,40323
24510,19.1,29460
25001,6.7,47106
25003,9.4,39521
25005,9.1,44229
25007,6.2,47013
25009,8.4,48944
25011,8.9,41507
25013,13.7,38851
25015,7.5,47268
25017,5.9,62307
25019,6.8,55395
25021,5.0,64527
25023,6.6,54910
25025,15.3,40641
25027,8.3,45984
26001,12.4,32085
26003,11.4,36230
26005,7.1,47594
26007,11.3,35295
26009,8.8,39491
26011,14.2,33374
26013,11.1,34377
26015,6.4,48150
26017,9.8,40239
26019,8.4,38356
26021,12.2,38227
26023,11.0,39004
26025,10.8,39991
26027,10.5,41867
26029,8.2,40942
26031,11.2,34330
26033,13.8,34537
26035,14.9,29791
26037,5.1,55108
26039,13.3,34044
26041,9.8,36795
26043,8.6,36909
26045,6.6,50873
26047,7.5,41521
26049,12.0,42011
26051,12.6,33150
26053,14.2,28536
26055,6.7,44515
26057,10.8,37665
26059,9.4,40889
26061,13.8,30163
26063,10.6,36778
26065,11.4,42551
26067,9.0,42239
26069,12.5,31792
26071,12.4,29553
26073,12.8,35497
26075,10.1,43751
26077,10.0,43565
26079,11.0,35593
26081,8.2,47443
26083,10.4,29828
26085,19.0,27071
26087,5.9,52480
26089,6.8,48142
26091,7.5,46167
26093,3.4,69650
26095,16.5,31948
26097,10.5,33967
26099,5.6,52612
26101,11.2,34999
26103,9.7,37032
26105,10.9,35804
26107,14.0,34423
26109,10.0,34804
26111,7.8,48997
26113,11.3,36091
26115,6.4,52962
26117,11.0,38128
26119,12.9,30805
26121,11.7,38787
26123,10.9,38433
26125,5.6,64450
26127,13.7,35824
26129,14.4,30946
26131,12.1,30682
26133,12.7,34796
26135,15.3,28671
26137,8.4,41816
26139,4.8,54377
26141,10.2,32708
26143,13.8,30262
26145,12.6,39616
26147,7.2,47278
26149,10.4,40337
26151,10.8,37847
26153,12.8,32494
26155,8.1,43111
26157,9.0,40927
26159,11.7,39610
26161,7.2,55335
26163,14.4,40488
26165,11.0,36173
27001,11.6,32085
27003,4.2,59352
27005,11.1,36661
27007,15.6,33951
27009,6.7,43442
27011,10.8,32676
27013,8.8,40207
27015,6.3,41690
27017,8.1,41218
27019,3.2,70220
27021,12.3,35295
27023,7.8,37882
27025,5.1,55801
27027,9.9,40637
27029,14.0,31220
27031,7.1,38263
27033,9.6,33897
27035,8.8,38730
27037,3.5,64913
27039,4.8,50086
27041,7.7,39270
27043,8.8,36160
27045,8.2,38190
27047,8.0,38026
27049,5.0,48281
27051,8.8,35938
27053,7.0,54517
27055,6.5,42650
27057,11.5,35073
27059,5.6,51062
27061,9.5,37560
27063,7.8,37535
27065,9.1,39442
27067,8.9,41006
27069,9.5,35221
27071,10.5,37601
27073,7.6,34787
27075,7.3,41051
27077,8.9,34562
27079,5.8,47569
27081,9.3,33230
27083,7.7,40887
27085,5.2,47732
27087,16.2,30450
27089,8.9,37071
27091,8.9,37054
27093,6.9,42274
27095,8.9,37969
27097,9.6,37748
27099,8.0,38194
27101,7.7,36835
27103,6.5,47699
27105,9.6,36919
27107,10.2,34810
27109,5.4,53749
27111,9.1,36710
27113,8.9,36100
27115,10.7,37161
27117,8.4,34324
27119,10.7,36511
27121,8.0,36802
27123,8.8,47003
27125,9.1,34125
27127,7.5,39182
27129,8.0,39581
27131,6.6,48566
27133,6.9,39749
27135,6.1,41996
27137,9.4,38704
27139,3.3,70149
27141,4.1,59386
27143,7.2,42051
27145,6.2,44764
27147,6.1,47956
27149,8.3,39229
27151,9.1,36130
27153,11.3,33332
27155,10.1,32739
27157,5.6,43772
27159,12.0,32330
27161,7.2,43489
27163,3.3,69625
27165,9.0,36304
27167,8.2,40175
27169,8.5,39755
