uid,name,region,population,latitude,longitude
20143,Ottawa,KS,6091,39.137963,-97.654803
20145,Pawnee,KS,6973,38.182873,-99.232154
20147,Phillips,KS,5642,39.784506,-99.34215
20149,Pottawatomie,KS,21604,39.382187,-96.337113
20151,Pratt,KS,9656,37.647594,-98.74012
20153,Rawlins,KS,2519,39.786198,-101.076738
20155,Reno,KS,64511,37.948185,-98.078346
20157,Republic,KS,4980,39.82891,-97.650921
20159,Rice,KS,10083,38.347178,-98.201415
20161,Riley,KS,71115,39.291211,-96.727489
20163,Rooks,KS,5181,39.346006,-99.324492
20165,Rush,KS,3307,38.523592,-99.309183
20167,Russell,KS,6970,38.916839,-98.765638
20169,Saline,KS,55606,38.786327,-97.650153
20171,Scott,KS,4936,38.481877,-100.90636
20173,Sedgwick,KS,498365,37.683807,-97.459451
20175,Seward,KS,22952,37.180585,-100.854741
20177,Shawnee,KS,177934,39.041805,-95.755664
20179,Sheridan,KS,2556,39.350543,-100.441206
20181,Sherman,KS,6010,39.351352,-101.719859
20183,Smith,KS,3853,39.78466,-98.78543
20185,Stafford,KS,4437,38.03563,-98.719889
20187,Stanton,KS,2235,37.565932,-101.789383
20189,Stevens,KS,5724,37.202356,-101.315796
20191,Sumner,KS,24132,37.236663,-97.493349
20193,Thomas,KS,7900,39.357706,-101.083439
20195,Trego,KS,3001,38.921302,-99.865423
20197,Wabaunsee,KS,7053,38.955154,-96.201262
20199,Wallace,KS,1485,38.926626,-101.771103
20201,Washington,KS,5799,39.776714,-97.095611
20203,Wichita,KS,2234,38.481922,-101.347434
20205,Wilson,KS,9409,37.558515,-95.745175
20207,Woodson,KS,3309,37.888484,-95.757553
20209,Wyandotte,KS,157505,39.115384,-94.763087
21001,Adair,KY,18656,37.105541,-85.281401
21003,Allen,KY,19956,36.75077,-86.192458
21005,Anderson,KY,21421,38.005396,-84.986417
21007,Ballard,KY,8249,37.05112,-89.009178
21009,Barren,KY,42173,36.963614,-85.92499
21011,Bath,KY,11591,38.152249,-83.737641
21013,Bell,KY,28691,36.72268,-83.681046
21015,Boone,KY,118811,38.974595,-84.731444
21017,Bourbon,KY,19985,38.202562,-84.20986
21019,Boyd,KY,49542,38.360004,-82.681406
21021,Boyle,KY,28432,37.6182,-84.873016
21023,Bracken,KY,8488,38.678523,-84.100355
21025,Breathitt,KY,13878,37.521178,-83.322401
21027,Breckinridge,KY,20059,37.778109,-86.432829
21029,Bullitt,KY,74319,37.969572,-85.703036
21031,Butler,KY,12690,37.207013,-86.682471
21033,Caldwell,KY,12984,37.148643,-87.87051
21035,Calloway,KY,37191,36.620978,-88.274086
21037,Campbell,KY,90336,38.946981,-84.379583
21039,Carlisle,KY,5104,36.857726,-88.975757
21041,Carroll,KY,10811,38.668284,-85.124083
21043,Carter,KY,27720,38.309555,-83.048821
21045,Casey,KY,15955,37.321962,-84.92822
21047,Christian,KY,73955,36.893388,-87.493554
21049,Clark,KY,35613,37.970133,-84.144974
21051,Clay,KY,21730,37.164466,-83.710763
21053,Clinton,KY,10272,36.729124,-85.153499
21055,Crittenden,KY,9315,37.358149,-88.10501
21057,Cumberland,KY,6856,36.784227,-85.393499
21059,Daviess,KY,96656,37.731671,-87.087139
21061,Edmonson,KY,12161,37.227856,-86.217778
21063,Elliott,KY,7852,38.116425,-83.097541
21065,Estill,KY,14672,37.69246,-83.963927
21067,Fayette,KY,295803,38.040157,-84.458443
21069,Fleming,KY,14348,38.368431,-83.706152
21071,Floyd,KY,39451,37.558283,-82.740337
21073,Franklin,KY,49285,38.234919,-84.868786
21075,Fulton,KY,6813,36.55262,-89.187723
21077,Gallatin,KY,8589,38.760184,-84.862114
21079,Garrard,KY,16912,37.630162,-84.545856
21081,Grant,KY,24662,38.64921,-84.625946
21083,Graves,KY,37121,36.723344,-88.649897
21085,Grayson,KY,25746,37.458577,-86.344011
21087,Green,KY,11258,37.269637,-85.561403
21089,Greenup,KY,36910,38.563596,-82.933833
21091,Hancock,KY,8565,37.843389,-86.792773
21093,Hardin,KY,105543,37.695836,-85.963183
21095,Harlan,KY,29278,36.859223,-83.221497
21097,Harrison,KY,18846,38.443489,-84.332796
21099,Hart,KY,18199,37.313856,-85.881995
21101,Henderson,KY,46250,37.792542,-87.572577
21103,Henry,KY,15416,38.451561,-85.120079
21105,Hickman,KY,4902,36.675916,-88.97202
21107,Hopkins,KY,46920,37.31107,-87.542196
21109,Jackson,KY,13494,37.40332,-84.020686
21111,Jefferson,KY,741096,38.189533,-85.657624
21113,Jessamine,KY,48586,37.873291,-84.58396
21115,Johnson,KY,23356,37.84926,-82.830639
21117,Kenton,KY,159720,38.930477,-84.533492
