source+dest,flux
0106112073,2
0106112091,47
0106112095,16
0106112105,6
0106112131,69
0106112133,46
0106113031,16
0106113087,8
0106113095,10
0106113121,12
0106113129,2
0106113135,8
0106113303,5
0106122101,14
0106122103,12
0106122109,12
0106128121,2
0106129077,6
0106142003,10
0106145083,10
0106147069,6
0106147157,31
0106148201,7
0106151710,2
0106151810,1
0106301063,1480
0106301065,38
0106301073,44
0106301081,10
0106301091,403
0106301097,17
0106301101,8
0106301103,4
0106301105,1
0106301107,104
0106301117,9
0106301119,47
0106301125,816
0106301131,1
0106313067,3
0106313089,2
0106313117,27
0106317179,2
0106328075,22
0106329021,14
0106347157,3
0106348201,9
0106501001,8
0106501007,38
0106501041,7
0106501045,12
0106501047,38
0106501057,6
0106501063,97
0106501065,2757
0106501073,56
0106501081,11
0106501091,395
0106501097,47
0106501101,16
0106501105,113
0106501107,23
0106501119,20
0106501125,1996
0106501131,5
0106513147,10
0106528023,9
0106528075,8
0106528081,14
0106528087,19
0106542051,4
0106547037,1
0106547093,9
0106547157,4
0106549035,2
0106701005,582
0106701017,4
0106701031,30
0106701045,278
0106701055,5
0106701067,3061
0106701069,2268
0106701081,28
0106701101,18
0106701109,19
0106701113,6
0106701117,9
0106701133,5
0106705039,7
0106712031,6
0106713061,38
0106713063,5
0106713087,21
0106713089,6
0106713099,73
0106713121,8
0106713135,9
0106713185,5
0106713205,6
0106713215,7
0106713243,17
0106713253,5
0106713259,4
0106713273,7
0106713275,7
0106713285,8
0106713299,6
0106722075,16
0106737119,6
0106739049,16
0106745045,12
0106748465,4
0106901003,9
0106901005,97
0106901015,9
0106901021,35
0106901027,1
0106901031,255
0106901039,10
0106901045,1928
0106901051,6
0106901057,7
0106901061,194
0106901067,545
0106901069,35059
0106901073,31
0106901081,4
0106901085,2
0106901089,11
0106901095,13
0106901097,2
0106901101,148
0106901109,62
0106901115,3
0106901117,24
0106901123,7
0106901125,6
0106901133,15
0106905007,3
0106905119,15
0106912005,63
0106912013,3
0106912031,3
0106912033,10
0106912039,11
0106912045,12
0106912057,11
0106912059,21
0106912063,287
0106912065,8
0106912073,50
0106912086,5
0106912091,23
0106912095,15
0106912099,2
0106912105,13
0106912131,20
0106912133,47
0106913035,9
0106913037,12
0106913051,11
0106913053,14
0106913061,10
0106913087,10
0106913095,13
0106913099,423
0106913121,20
0106913131,13
0106913135,3
0106913179,2
0106913185,5
0106913215,50
0106913243,4
0106913253,91
0106913269,2
0106913287,14
0106913321,1
0106918019,2
0106919101,4
0106921185,2
0106922019,44
0106922051,2
0106922101,6
0106928075,4
0106929077,3
0106932031,6
0106937001,1
0106937119,5
0106937153,2
0106939017,2
0106945079,9
0106947157,8
0106948201,10
0106948321,1
0106951710,1
0107101009,4
0107101015,9
0107101019,3
0107101025,10
0107101027,5
0107101029,7
0107101033,18
0107101043,7
0107101045,5
0107101047,26
0107101049,1695
0107101055,44
0107101071,16642
0107101073,13
0107101083,81
0107101089,1853
0107101093,48
0107101095,267
0107101103,77
0107101115,15
0107101121,21
0107101125,10
0107101127,5
0107104013,2
0107105139,7
0107113015,7
0107113047,37
0107113055,52
0107113063,11
0107113067,4
0107113083,464
0107113115,23
0107113135,9
0107113151,5
0107113185,2
0107113213,10
0107113233,8
0107113277,13
0107113295,30
0107113297,9
0107113313,43
0107117145,6
0107118151,11
0107118165,11
0107121093,3
0107121111,5
0107126021,6
0107126163,5
0107127053,7
0107128049,10
0107129077,18
0107136061,1
0107137087,6
0107137089,4
0107139017,4
0107142003,13
0107145045,3
0107145061,2
0107145079,8
0107147011,37
0107147031,18
0107147037,32
0107147043,4
0107147051,55
0107147059,2
0107147065,1693
0107147085,7
0107147115,718
0107147121,3
0107147143,1
0107147149,14
0107147153,12
0107147157,10
0107147167,18
0107147189,4
0107148141,5
0107148241,6
0107148321,1
0107151087,7
0107151177,7
0107301001,22
0107301003,16
0107301005,7
0107301007,114
0107301009,550
0107301011,20
0107301015,236
0107301019,8
0107301021,73
0107301025,8
0107301027,13
0107301033,13
0107301035,2
0107301037,31
0107301039,5
0107301043,405
0107301047,69
0107301049,16
0107301051,19
0107301055,274
0107301063,13
0107301065,6
0107301069,34
0107301071,19
0107301073,265661
0107301075,14
0107301077,21
0107301079,23
0107301081,30
0107301083,35
0107301087,8
0107301089,185
0107301091,53
0107301093,18
0107301095,82
0107301097,110
0107301101,337
0107301103,140
0107301107,19
0107301115,1363
0107301117,17351
0107301121,342
0107301123,28
0107301125,1884
0107301127,735
0107301131,10
0107301133,8
0107304021,7
0107305027,1
0107305029,7
0107305053,29
0107305119,6
0107305131,5
0107306037,41
0107306059,13
0107306075,22
0107309011,14
0107312005,17
0107312011,20
0107312031,19
0107312057,25
0107312069,7
0107312091,10
0107312095,30
0107312099,41
0107312109,6
0107312117,8
0107312131,8
0107313021,17
0107313067,53
0107313089,88
0107313091,9
0107313097,6
0107313115,7
0107313121,180
0107313135,46
0107313179,3
0107313207,8
0107313215,8
0107313245,20
0107313261,12
0107313295,4
0107313311,45
0107313313,12
0107316029,14
0107317031,59
0107317043,4
0107317179,11
0107318097,4
0107319113,7
0107319145,10
0107320091,9
0107320103,9
0107321067,5
0107321111,30
0107321239,25
0107322033,3
0107322051,10
0107322055,8
0107322071,7
0107322073,8
0107322095,15
0107324003,7
0107325001,7
0107325025,9
0107326125,3
0107326163,11
0107327003,12
