res,work,total,male,female
4701019,4701024,35,30,0
3502010,3506008,165,75,90
4812810,4812810,65,30,40
5925812,5925034,30,15,15
1005023,1005023,50,15,30
1005022,1005018,90,55,35
2428045,2429075,45,15,25
1005020,1005020,145,60,85
3512030,3520005,55,45,0
1005025,1005025,35,0,35
2428040,2428045,70,40,30
4718058,4718058,120,50,70
4711079,4711079,70,30,40
1102085,1103025,30,15,15
1005028,1005018,70,30,40
4705021,4705021,40,20,15
5949817,5949810,35,20,15
1102080,1103025,25,15,10
3548044,3553005,85,85,0
2426015,2429075,25,20,10
2426010,2427043,30,0,25
2422005,2434128,80,35,40
2444015,2444037,90,40,50
4807048,4807048,165,65,105
2444010,2444037,35,20,15
1001254,1001240,30,0,25
4711075,4711075,60,30,30
5919017,5921010,25,10,10
1305038,1305038,55,25,30
2423020,2466025,55,35,15
1305034,1305034,120,50,70
1305036,1301006,35,20,20
1305031,1307022,35,25,10
2423025,4815035,40,10,30
2459030,2466025,35,20,15
5945802,5945802,150,55,95
2436035,2466025,25,15,15
3514027,3514024,25,10,15
1310054,1311006,20,10,0
1309050,1310032,45,15,25
4711070,4711073,20,10,10
4810001,4811061,180,110,75
2408015,2408055,30,15,15
3548069,3548069,265,125,140
4711073,4711073,90,45,45
3532027,3539036,710,355,355
1010013,1010013,60,20,35
4712059,4712059,75,25,50
4621041,4621043,35,10,25
1207021,1209034,115,60,60
4601094,4611040,25,15,10
4706059,4706064,25,10,20
1207024,1209034,100,75,30
4706056,4706056,225,85,140
4706055,4706058,20,10,15
4604046,4604046,100,65,40
4706053,4706056,80,45,35
4706051,4706051,430,195,235
5957022,5957802,155,45,115
1216014,1216014,75,30,45
1216011,1217030,45,15,35
4803024,4803024,45,25,20
3547064,3547096,40,20,25
5925046,5925046,140,55,85
2497010,2497904,55,50,10
5925042,5925804,60,25,40
2469030,2470012,40,15,25
5949834,5949834,130,55,80
5943801,5943801,30,10,25
4615055,4616032,25,10,20
2469037,2471040,30,30,0
4615057,4615057,150,75,75
3537003,3539036,25,10,20
2474005,2478028,20,10,10
2440005,2440005,30,0,25
2498012,2498012,145,55,90
4716854,4716854,20,15,10
2498010,2498010,105,50,60
2415060,2415055,45,15,30
2447055,2454065,35,30,10
2498014,2498014,140,45,95
4718041,4718809,50,10,40
4716858,4716858,80,40,40
5903013,5903013,210,90,120
5903011,5905014,45,20,20
5903010,5903015,25,10,15
3556048,3556048,600,315,295
5903015,5905014,50,30,15
2479045,2479045,35,30,10
5903019,5903019,110,45,65
4709819,4709819,70,35,40
4810004,4810004,25,10,10
2479040,2479045,30,20,10
3556042,3556042,1990,1010,980
2488045,2488090,30,30,0
2481025,3521005,25,0,15
4803026,4806016,60,30,30
2422020,2423060,100,40,60
2481020,3506008,14735,7600,7130
2488040,2488055,145,70,75
4716011,4716011,25,10,15
4817028,4817028,70,20,50
2443023,2445070,50,0,45
2443020,2466025,55,25,35
2455008,2455048,20,15,10
5915051,5931020,20,20,0
2443025,3506008,35,10,20
4607045,4607062,280,110,170
2451015,2466025,30,10,25
2451010,2451020,25,15,10
5951015,5951013,675,355,315
5939023,5939019,205,115,95
2427008,2429112,80,55,20
4812005,4816037,30,30,0
4714026,4714032,45,35,15
5919015,5921007,100,60,40
5919016,5921020,25,20,0
5907035,5935027,20,10,10
5919012,5919807,110,40,70
5919013,5919807,20,10,10
2446095,2447015,25,20,10
2494025,2494070,45,30,10
2446090,2466025,35,35,0
2490015,2490007,135,70,70
2437040,2438010,25,20,10
2437045,2437070,55,35,15
4819066,4819068,335,140,190
2433030,2433030,155,110,45
5933812,5933024,25,10,10
2433035,2433090,45,35,10
4716038,4716038,30,0,25
4712004,4712006,145,55,90
4712006,4712046,25,15,10
4712008,4712006,35,10,25
4716033,4716029,25,0,25
4608042,4608042,120,40,80
1212009,1212016,60,55,10
1212008,1212016,70,50,20
4709072,4709072,95,55,45
1212001,1212016,65,45,20
1212006,1212016,125,80,45
1212004,1212016,55,45,10
4620055,4620055,105,45,65
4715018,4715018,55,25,30
4817832,4817029,35,20,15
4620052,4620052,60,20,40
4817831,4817831,55,15,40
5957803,5957802,25,10,15
6204022,6204022,75,35,40
3546005,3546024,255,115,135
4810051,4810051,25,0,15
2468040,2468040,60,30,30
2468045,2468055,45,10,40
4807038,4807036,25,20,10
5919804,5919804,50,15,30
4807036,4807036,245,145,100
4707014,4707016,30,15,20
4807032,4807032,40,20,20
4807031,4810011,35,15,15
5929018,5929018,430,195,235
2478055,2478055,35,30,0
2406045,2406045,140,80,60
2423045,2466025,60,15,45
4811045,4811049,20,0,15
2484035,2484060,25,10,15
2480065,3506008,25,15,10
4811046,4811061,75,45,35
4811049,4816037,85,80,0
4811048,4816037,25,15,10
3542015,3543031,240,120,115
2491010,2491025,25,10,25
2495040,2495045,110,50,60
2491015,2491020,50,20,35
2495045,2496902,25,25,0
4714022,4714022,180,80,100
2485030,2485037,30,10,20
2485037,2485080,20,20,0
6107015,6107015,230,105,120
2410010,2410045,40,20,20
3557021,3557061,25,10,25
4806026,4806026,335,195,140
2410015,2410045,205,80,120
6107017,6107017,1330,660,670
1314008,1314017,205,105,100
2497015,2497020,145,95,50
4709049,4709032,30,0,25
2442088,2445070,25,0,20
1103052,1103052,190,60,125
1103051,1103059,60,10,50
4807002,4807002,725,360,360
1103056,1103059,245,125,120
1103054,1103059,80,60,15
1103059,1103059,170,80,95
2436010,2451060,25,15,10
4622801,4622801,260,135,130
4622800,4622800,180,80,100
2478120,2479035,80,20,55
4715039,4715042,45,10,35
4709044,4709044,25,10,20
2430095,2430100,75,30,45
4715034,4715034,165,70,95
2429090,2429075,235,130,110
3515030,3518013,35,35,10
2430090,2430095,45,35,15
2429095,2429075,30,10,25
4715032,4715032,320,125,190
2432065,2439062,35,10,25
6205017,6205017,765,350,415
6205016,6205016,75,35,40
6205015,6205015,430,230,195
4817837,4817837,75,30,45
5937014,5939032,125,80,45
6205019,6205019,110,45,60
4711053,4711054,25,10,20
4711052,4711053,55,30,30
4711051,4711049,40,30,10
4817835,4817835,110,60,55
5933024,5933024,250,140,110
2430072,2430080,45,15,30
2430070,2430072,35,0,30
4711059,4711066,25,0,15
4709042,4709039,20,10,15
2431070,2431087,150,70,80
3519049,3543042,45,30,15
2475040,2477045,175,75,95
1008039,1008044,30,15,15
1008038,1008038,30,0,30
1008037,1008044,30,10,20
1008035,1008035,485,180,305
