uid,region,name,population,latitude,longitude
M11040,Mexico,Tierra Blanca,14515,21.10055,-100.15841
M11041,Mexico,Uriangato,52931,20.13837,-101.18037
M11042,Mexico,Valle de Santiago,130821,20.39225,-101.19205
M11043,Mexico,Victoria,17764,21.21165,-100.21507
M11044,Mexico,Villagran,45941,20.51251,-100.99593
M11045,Mexico,Xichu,11323,21.29915,-100.0559
M11046,Mexico,Yuriria,73820,20.2117,-101.12815
M12001,Mexico,Acapulco de Juarez,722499,16.87185,-99.89811
M12002,Mexico,Ahuacuotzingo,19388,17.71459,-98.93503
M12003,Mexico,Ajuchitlan del Progreso,41266,18.15485,-100.50035
M12004,Mexico,Alcozauca de Guerrero,15828,17.46461,-98.38473
M12005,Mexico,Alpoyeca,6062,17.67182,-98.51279
M12006,Mexico,Apaxtla,13146,18.1304,-99.93201
M12007,Mexico,Arcelia,32818,18.31567,-100.28423
M12008,Mexico,Atenango del Rio,8504,18.10429,-99.10726
M12009,Mexico,Atlamajalcingo del Monte,5080,17.30933,-98.60474
M12010,Mexico,Atlixtac,21407,17.56293,-98.93364
M12011,Mexico,Atoyac de Alvarez,61736,17.20962,-100.43452
M12012,Mexico,Ayutla de los Libres,55350,16.96546,-99.09725
M12013,Mexico,Azoyu,32400,16.73381,-98.59836
M12014,Mexico,Benito Juarez,15448,17.13684,-100.47007
M12015,Mexico,Buenavista de Cuellar,12619,18.45928,-99.40782
M12016,Mexico,Coahuayutla de Jose Maria Izazaga,15372,18.31623,-101.73427
M12017,Mexico,Cocula,15666,18.24068,-99.66144
M12018,Mexico,Copala,13060,16.60632,-98.97891
M12019,Mexico,Copalillo,12730,18.03402,-99.04142
M12020,Mexico,Copanatoyac,15753,17.46266,-98.71309
M12021,Mexico,Coyuca de Benitez,69059,17.00795,-100.08784
M12022,Mexico,Coyuca de Catalan,46172,18.32678,-100.69869
M12023,Mexico,Cuajinicuilapa,25641,16.47132,-98.41585
M12024,Mexico,Cualac,6575,17.74153,-98.6603
M12025,Mexico,Cuautepec,15156,16.74964,-99.00559
M12026,Mexico,Cuetzala del Progreso,9869,18.13485,-99.83144
M12027,Mexico,Cutzamala de Pinzon,26166,18.46539,-100.57868
M12028,Mexico,Chilapa de Alvarez,102853,17.59932,-99.17698
M12029,Mexico,Chilpancingo de los Bravo,192947,17.5521,-99.50115
M12030,Mexico,Florencio Villarreal,19061,16.72297,-99.12531
M12031,Mexico,General Canuto A. Neri,7687,18.41956,-100.07256
M12032,Mexico,General Heliodoro Castillo,35625,17.79098,-99.97867
M12033,Mexico,Huamuxtitlan,14291,17.80126,-98.56447
M12034,Mexico,Huitzuco de los Figueroa,35668,18.30596,-99.33504
M12035,Mexico,Iguala de la Independencia,123960,18.34428,-99.53949
M12036,Mexico,Igualapa,10192,16.74492,-98.47586
M12037,Mexico,Ixcateopan de Cuauhtemoc,7119,18.50373,-99.79394
M12038,Mexico,Jose Azueta,95548,17.64514,-101.55149
M12039,Mexico,Juan R. Escudero,21994,17.16629,-99.52671
M12040,Mexico,Leonardo Bravo,22906,17.65848,-99.67672
M12041,Mexico,Malinaltepec,34925,17.24489,-98.67113
M12042,Mexico,Martir de Cuilapan,13801,17.74181,-99.32949
M12043,Mexico,Metlatonoc,30039,17.19517,-98.40696
M12044,Mexico,Mochitlan,10133,17.4721,-99.36949
M12045,Mexico,Olinala,22645,17.77931,-98.74113
M12046,Mexico,Ometepec,50356,16.68381,-98.40586
M12047,Mexico,Pedro Ascencio Alquisiras,7852,18.51206,-99.88644
M12048,Mexico,Petatlan,46328,17.53793,-101.27426
M12049,Mexico,Pilcaya,10851,18.74759,-99.67533
M12050,Mexico,Pungarabato,34740,18.36095,-100.66841
M12051,Mexico,Quechultenango,32541,17.41433,-99.24226
M12052,Mexico,San Luis Acatlan,36813,16.80797,-98.73391
M12053,Mexico,San Marcos,48782,16.79518,-99.39143
M12054,Mexico,San Miguel Totolapan,28986,18.16012,-100.39146
M12055,Mexico,Taxco de Alarcon,100245,18.55705,-99.60366
M12056,Mexico,Tecoanapa,43128,16.9863,-99.26087
M12057,Mexico,Tecpan de Galeana,60313,17.22155,-100.63007
M12058,Mexico,Teloloapan,53950,18.36761,-99.8734
M12059,Mexico,Tepecoacuilco de Trujano,30838,18.28707,-99.46366
M12060,Mexico,Tetipac,13318,18.64927,-99.64866
M12061,Mexico,Tixtla de Guerrero,33620,17.56627,-99.39893
M12062,Mexico,Tlacoachistlahuaca,15696,16.81019,-98.30112
M12063,Mexico,Tlacoapa,9195,17.26044,-98.74753
M12064,Mexico,Tlalchapa,12942,18.40956,-100.47813
M12065,Mexico,Tlalixtaquilla de Maldonado,6699,17.5746,-98.36808
M12066,Mexico,Tlapa de Comonfort,57346,17.54682,-98.57669
M12067,Mexico,Tlapehuala,22677,18.24235,-100.53507
M12068,Mexico,La Union de Isidoro Montes de Oca,27619,17.98486,-101.80594
M12069,Mexico,Xalpatlahuac,11687,17.47127,-98.60641
M12070,Mexico,Xochihuehuetlan,7863,17.90486,-98.48836
M12071,Mexico,Xochistlahuaca,22781,16.79158,-98.24251
M12072,Mexico,Zapotitlan Tablas,10271,17.42294,-98.78224
M12073,Mexico,Zirandaro,23563,18.47761,-100.9798
M12074,Mexico,Zitlala,17361,17.6907,-99.1881
M12075,Mexico,Eduardo Neri,40064,17.65264,-99.52671
M12076,Mexico,Acatepec,25060,17.3235,-98.9117
M13001,Mexico,Acatlan,18619,20.14531,-98.43836
M13002,Mexico,Acaxochitlan,36978,20.15893,-98.20585
M13003,Mexico,Actopan,46010,20.26837,-98.94338
M13004,Mexico,Agua Blanca de Iturbide,8515,20.3492,-98.35669
M13005,Mexico,Ajacuba,14507,20.09004,-99.1167
M13006,Mexico,Alfajayucan,17018,20.40864,-99.34893
M13007,Mexico,Almoloya,10290,19.70284,-98.40363
M13008,Mexico,Apan,39513,19.71005,-98.4503
M13009,Mexico,El Arenal,14223,20.2217,-98.91171
M13010,Mexico,Atitalaquia,21636,20.05977,-99.22171
M13011,Mexico,Atlapexco,18029,21.0175,-98.34836
